A,B,X,rA,rB,rX,TF,target
Hydrazinium,Sn,F,217,115,128.7531079,1.003,0
Azetidinium,Sn,F,250,115,128.5852699,1.099,0
Formamidinium,Sn,F,253,115,128.4082973,1.108,0
Imidazolium,Sn,F,258,115,128.7163712,1.122,0
Dimethylammonium,Sn,F,272,115,128.5126474,1.163,0
Pyrrolinium,Sn,F,272,115,128.5126474,1.163,0
Ethylammonium,Sn,F,274,115,128.4111904,1.169,0
Guanidinium,Sn,F,278,115,128.7302984,1.18,0
Tetramethylammoium,Sn,F,292,115,128.5484565,1.221,0
Thiazolium,Sn,F,320,115,128.6687553,1.302,0
Tropylium,Sn,F,333,115,128.5628534,1.34,0
Ammonium,Pb,F,146,119,129.2908556,0.784,0
Hydroxylammonium,Pb,F,216,119,128.7105003,0.984,1
Methylammonium,Pb,F,217,119,128.5817915,0.987,1
Hydrazinium,Pb,F,217,119,128.5817915,0.987,1
Azetidinium,Pb,F,250,119,128.747174,1.081,0
Formamidinium,Pb,F,253,119,128.4640553,1.09,0
Imidazolium,Pb,F,258,119,128.6430383,1.104,0
Dimethylammonium,Pb,F,272,119,128.6287863,1.144,0
Pyrrolinium,Pb,F,272,119,128.6287863,1.144,0
Ethylammonium,Pb,F,274,119,128.4672143,1.15,0
Guanidinium,Pb,F,278,119,128.7013834,1.161,0
Tetramethylammoium,Pb,F,292,119,128.6840509,1.201,0
Thiazolium,Pb,F,320,119,128.6566343,1.281,0
Tropylium,Pb,F,333,119,128.2994413,1.319,0
Ammonium,Eu,F,146,117,127.43092,0.791,0
Hydroxylammonium,Eu,F,216,117,128.7186297,0.992,1
Methylammonium,Eu,F,217,117,128.6142538,0.995,1
Hydrazinium,Eu,F,217,117,128.6142538,0.995,1
Azetidinium,Eu,F,250,117,128.6173086,1.09,0
Formamidinium,Eu,F,253,117,128.3896052,1.099,0
Imidazolium,Eu,F,258,117,128.6361711,1.113,0
Dimethylammonium,Eu,F,272,117,128.2522134,1.154,0
Pyrrolinium,Eu,F,272,117,128.2522134,1.154,0
Ethylammonium,Eu,F,274,117,128.6681358,1.159,0
Guanidinium,Eu,F,278,117,128.4103383,1.171,0
Tetramethylammoium,Eu,F,292,117,128.5752173,1.211,0
Thiazolium,Eu,F,320,117,128.4168931,1.292,0
Tropylium,Eu,F,333,117,128.596929,1.329,0
Ammonium,Tm,F,146,103,129.2931002,0.838,1
Hydroxylammonium,Tm,F,216,103,128.6747965,1.052,0
Methylammonium,Tm,F,217,103,128.7095266,1.055,0
Hydrazinium,Tm,F,217,103,128.7095266,1.055,0
Azetidinium,Tm,F,250,103,128.5577346,1.156,0
Formamidinium,Tm,F,253,103,128.6391963,1.165,0
Imidazolium,Tm,F,258,103,128.2790028,1.181,0
Dimethylammonium,Tm,F,272,103,128.6391099,1.223,0
Pyrrolinium,Tm,F,272,103,128.6391099,1.223,0
Ethylammonium,Tm,F,274,103,128.6858224,1.229,0
Guanidinium,Tm,F,278,103,128.3427846,1.242,0
Tetramethylammoium,Tm,F,292,103,128.6601709,1.284,0
Thiazolium,Tm,F,320,103,128.4734367,1.37,0
Tropylium,Tm,F,333,103,128.3787576,1.41,0
Ammonium,Yb,F,146,102,128.6468675,0.842,1
Hydroxylammonium,Yb,F,216,102,128.3850681,1.057,0
Methylammonium,Yb,F,217,102,128.4302704,1.06,0
Hydrazinium,Yb,F,217,102,128.4302704,1.06,0
Azetidinium,Yb,F,250,102,128.5648097,1.161,0
Formamidinium,Yb,F,253,102,128.6646968,1.17,0
Imidazolium,Yb,F,258,102,128.3408224,1.186,0
Dimethylammonium,Yb,F,272,102,128.3309345,1.229,0
Pyrrolinium,Yb,F,272,102,128.3309345,1.229,0
Ethylammonium,Yb,F,274,102,128.3919846,1.235,0
Guanidinium,Yb,F,278,102,128.5100141,1.247,0
Tetramethylammoium,Yb,F,292,102,128.4886797,1.29,0
Thiazolium,Yb,F,320,102,128.4542399,1.376,0
Tropylium,Yb,F,333,102,128.4178713,1.416,0
Ammonium,Be,Cl,146,45,181.082045,1.023,0
Hydroxylammonium,Be,Cl,216,45,181.0549495,1.242,0
Methylammonium,Be,Cl,217,45,181.1087556,1.245,0
Hydrazinium,Be,Cl,217,45,181.1087556,1.245,0
Azetidinium,Be,Cl,250,45,180.8271094,1.349,0
Formamidinium,Be,Cl,253,45,180.9636546,1.358,0
Imidazolium,Be,Cl,258,45,180.8438685,1.374,0
Dimethylammonium,Be,Cl,272,45,181.1089909,1.417,0
Pyrrolinium,Be,Cl,272,45,181.1089909,1.417,0
Ethylammonium,Be,Cl,274,45,180.87388,1.424,0
Guanidinium,Be,Cl,278,45,181.0356878,1.436,0
Tetramethylammoium,Be,Cl,292,45,180.9760737,1.48,0
Thiazolium,Be,Cl,320,45,180.8751266,1.568,0
Tropylium,Be,Cl,333,45,181.0498234,1.608,0
Ammonium,Mg,Cl,146,72,180.9125996,0.914,1
Hydroxylammonium,Mg,Cl,216,72,180.7304301,1.11,0
Methylammonium,Mg,Cl,217,72,181.2284526,1.112,0
Hydrazinium,Mg,Cl,217,72,181.2284526,1.112,0
Azetidinium,Mg,Cl,250,72,180.7951824,1.205,0
Formamidinium,Mg,Cl,253,72,180.9907946,1.213,0
Imidazolium,Mg,Cl,258,72,180.9786051,1.227,0
Dimethylammonium,Mg,Cl,272,72,181.0382396,1.266,0
Pyrrolinium,Mg,Cl,272,72,181.0382396,1.266,0
Ethylammonium,Mg,Cl,274,72,180.8541059,1.272,0
Guanidinium,Mg,Cl,278,72,180.9357738,1.283,0
Tetramethylammoium,Mg,Cl,292,72,180.9926939,1.322,0
Thiazolium,Mg,Cl,320,72,181.0873113,1.4,0
Tropylium,Mg,Cl,333,72,180.8518763,1.437,0
Ammonium,Ca,Cl,146,100,180.662771,0.823,1
Hydroxylammonium,Ca,Cl,216,100,181.0081952,0.999,1
Methylammonium,Ca,Cl,217,100,180.5472901,1.002,0
Hydrazinium,Ca,Cl,217,100,180.5472901,1.002,0
Azetidinium,Ca,Cl,250,100,180.6772175,1.085,0
Formamidinium,Ca,Cl,253,100,181.0840312,1.092,0
Imidazolium,Ca,Cl,258,100,180.7860656,1.105,0
Dimethylammonium,Ca,Cl,272,100,180.9523482,1.14,0
Pyrrolinium,Ca,Cl,272,100,180.9523482,1.14,0
Ethylammonium,Ca,Cl,274,100,180.973933,1.145,0
Guanidinium,Ca,Cl,278,100,181.0156568,1.155,0
Tetramethylammoium,Ca,Cl,292,100,181.1480814,1.19,0
Thiazolium,Ca,Cl,320,100,180.8546604,1.261,0
Tropylium,Ca,Cl,333,100,181.2046201,1.293,0
Ammonium,Sr,Cl,146,118,182.4708258,0.773,0
Hydroxylammonium,Sr,Cl,216,118,180.8291978,0.939,1
Methylammonium,Sr,Cl,217,118,181.2971395,0.941,1
Hydrazinium,Sr,Cl,217,118,181.2971395,0.941,1
Azetidinium,Sr,Cl,250,118,181.2629832,1.019,0
Formamidinium,Sr,Cl,253,118,181.3460188,1.026,0
Imidazolium,Sr,Cl,258,118,181.1749112,1.038,0
Dimethylammonium,Sr,Cl,272,118,181.2483472,1.071,0
Pyrrolinium,Sr,Cl,272,118,181.2483472,1.071,0
Ethylammonium,Sr,Cl,274,118,181.0259843,1.076,0
Guanidinium,Sr,Cl,278,118,181.389032,1.085,0
Tetramethylammoium,Sr,Cl,292,118,180.7098945,1.119,0
Thiazolium,Sr,Cl,320,118,180.8859523,1.185,0
Tropylium,Sr,Cl,333,118,180.7423537,1.216,0
Ammonium,Ba,Cl,146,135,177.4615845,0.732,0
Hydroxylammonium,Ba,Cl,216,135,181.6268457,0.888,1
Methylammonium,Ba,Cl,217,135,180.3066569,0.891,1
Hydrazinium,Ba,Cl,217,135,180.3066569,0.891,1
Azetidinium,Ba,Cl,250,135,181.5411692,0.964,1
Formamidinium,Ba,Cl,253,135,181.1831917,0.971,1
Imidazolium,Ba,Cl,258,135,181.3924322,0.982,1
Dimethylammonium,Ba,Cl,272,135,180.6590732,1.014,0
Pyrrolinium,Ba,Cl,272,135,180.6590732,1.014,0
Ethylammonium,Ba,Cl,274,135,181.1466273,1.018,0
Guanidinium,Ba,Cl,278,135,181.0938206,1.027,0
